eval,t_s,score,uniformity_pct,coverage,e_avg,n_active,front_duct.theta_center,front_duct.arc_span,front_duct.axial_center,front_duct.row_pitch,front_duct.tilt_axial[0],front_duct.tilt_axial[1],front_duct.tilt_axial[2],front_duct.tilt_axial[3],front_duct.tilt_axial[4],front_duct.tilt_axial[5],front_duct.tilt_axial[6],front_duct.tilt_axial[7],front_duct.tilt_axial[8],front_duct.beam,front_duct.on[0],front_duct.on[1],front_duct.on[2],front_duct.on[3],front_duct.on[4],front_duct.on[5],front_duct.on[6],front_duct.on[7],front_duct.on[8]
1,0.93,0.299075,70.893,1.0000,1241.85,8,21.524,22.309,-0.34527,1.6999,-40.327,22.716,-17.324,49.814,30.185,-27.152,52.563,-56.972,-37.821,99.676,1,1,0,0,1,0,0,1,0
2,1.35,0.275113,73.089,1.0000,741.01,6,20.232,67.368,-1.4266,1.2034,12.296,-15.565,-14.997,59.283,18.452,-30.558,55.827,3.586,-24.37,106.05,0,1,0,0,0,1,1,0,0
3,1.71,0.275113,73.089,1.0000,741.01,6,20.232,67.368,-1.4266,1.2034,12.296,-15.565,-14.997,59.283,18.452,-30.558,55.827,3.586,-24.37,106.05,0,1,0,0,0,1,1,0,0
4,2.08,0.275113,73.089,1.0000,741.01,6,20.232,67.368,-1.4266,1.2034,12.296,-15.565,-14.997,59.283,18.452,-30.558,55.827,3.586,-24.37,106.05,0,1,0,0,0,1,1,0,0
5,2.46,0.264322,74.968,1.0000,1745.49,14,28.124,27.426,-0.71511,0.81283,57.658,-4.7831,27.106,56.333,7.8167,-57.992,-35.155,-0.26813,-34.192,117.64,1,1,0,1,0,1,1,1,1
6,2.83,0.264322,74.968,1.0000,1745.49,14,28.124,27.426,-0.71511,0.81283,57.658,-4.7831,27.106,56.333,7.8167,-57.992,-35.155,-0.26813,-34.192,117.64,1,1,0,1,0,1,1,1,1
7,3.20,0.264322,74.968,1.0000,1745.49,14,28.124,27.426,-0.71511,0.81283,57.658,-4.7831,27.106,56.333,7.8167,-57.992,-35.155,-0.26813,-34.192,117.64,1,1,0,1,0,1,1,1,1
8,3.55,0.256318,75.968,1.0000,2006.69,16,22.52,64.775,-0.57593,1.2095,59.538,-49.18,24.447,9.3113,0.077819,42.305,-56.667,-30.917,24.2,109.14,1,1,1,1,1,1,1,0,1
9,3.89,0.256318,75.968,1.0000,2006.69,16,22.52,64.775,-0.57593,1.2095,59.538,-49.18,24.447,9.3113,0.077819,42.305,-56.667,-30.917,24.2,109.14,1,1,1,1,1,1,1,0,1
10,4.25,0.256318,75.968,1.0000,2006.69,16,22.52,64.775,-0.57593,1.2095,59.538,-49.18,24.447,9.3113,0.077819,42.305,-56.667,-30.917,24.2,109.14,1,1,1,1,1,1,1,0,1
11,4.59,0.256318,75.968,1.0000,2006.69,16,22.52,64.775,-0.57593,1.2095,59.538,-49.18,24.447,9.3113,0.077819,42.305,-56.667,-30.917,24.2,109.14,1,1,1,1,1,1,1,0,1
12,4.91,0.256318,75.968,1.0000,2006.69,16,22.52,64.775,-0.57593,1.2095,59.538,-49.18,24.447,9.3113,0.077819,42.305,-56.667,-30.917,24.2,109.14,1,1,1,1,1,1,1,0,1
13,5.25,0.256318,75.968,1.0000,2006.69,16,22.52,64.775,-0.57593,1.2095,59.538,-49.18,24.447,9.3113,0.077819,42.305,-56.667,-30.917,24.2,109.14,1,1,1,1,1,1,1,0,1
14,5.58,0.237891,77.411,1.0000,923.72,12,35.654,63.756,-0.7494,0.89671,58.391,54.67,1.2957,-30.974,48.557,-2.1286,-47.823,-28.607,-17.727,114,1,1,0,0,0,1,1,1,1
15,5.93,0.237891,77.411,1.0000,923.72,12,35.654,63.756,-0.7494,0.89671,58.391,54.67,1.2957,-30.974,48.557,-2.1286,-47.823,-28.607,-17.727,114,1,1,0,0,0,1,1,1,1
16,6.26,0.237891,77.411,1.0000,923.72,12,35.654,63.756,-0.7494,0.89671,58.391,54.67,1.2957,-30.974,48.557,-2.1286,-47.823,-28.607,-17.727,114,1,1,0,0,0,1,1,1,1
17,6.61,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
18,6.97,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
19,7.34,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
20,7.69,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
21,8.09,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
22,8.48,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
23,8.88,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
24,9.27,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
25,9.63,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
26,9.97,0.221731,79.027,1.0000,1311.03,12,31.745,77.743,-0.72068,1.0078,45.966,48.988,32.267,-55.206,-4.5823,30.404,-11.522,-40.168,-5.6476,106.44,1,1,0,1,1,1,0,1,0
