eval,t_s,score,uniformity_pct,coverage,e_avg,n_active,n_drivers,total_current_a,group0.dx,group0.dy,group0.dz,group0.drot_x,group0.drot_y,group0.drot_z,group0.tilt[0],group0.tilt[1],group0.tilt[2],group0.tilt[3],group0.tilt[4],group0.tilt[5],group0.tilt[6],group0.tilt[7],group0.tilt[8],group0.on[0],group0.on[1],group0.on[2],group0.on[3],group0.on[4],group0.on[5],group0.on[6],group0.on[7],group0.on[8]
1,0.02,0.282922,71.708,1.0000,29405.50,14,14,42.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
2,0.03,0.293734,70.627,1.0000,29371.09,14,14,42.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
3,0.04,0.457716,54.228,1.0000,12092.22,8,8,24.000,0.46154,-0.46529,1.9888,14.425,5.5663,6.0184,11.307,-6.6647,-21.894,13.289,1.5213,-11.385,-0.84988,23.369,26.043,0,1,0,1,0,0,1,0,1
4,0.05,0.599998,40.000,1.0000,27457.10,10,10,30.000,-1.6639,1.3306,1.1484,-7.8189,11.295,-17.657,-9.833,-20.983,-2.9796,17.779,-16.161,-26.879,-5.7269,-18.089,-24.555,1,0,1,0,1,0,0,1,1
5,0.06,0.936757,6.324,1.0000,7270.63,14,14,42.000,-0.23849,1.8184,-0.00041675,-2.2431,3.6064,19.804,26.937,-2.3973,15.464,-0.15464,1.7587,17.147,-5.1206,14.069,12.669,1,0,1,1,1,0,1,1,1
6,0.08,0.686941,31.306,1.0000,26813.87,10,10,30.000,-1.4049,1.8905,1.5597,9.6712,-0.60036,-10.705,18.113,25.412,-14.032,2.3361,-3.4348,25.861,-27.569,13.92,6.8624,0,1,0,1,1,1,0,1,0
7,0.09,0.339774,66.023,1.0000,32522.55,12,12,36.000,-0.62276,-0.27881,1.8642,1.867,-7.2341,-10.333,23.287,-16.448,-22.527,-12.7,5.1674,3.2454,18.583,3.6286,-12.695,0,1,1,1,0,1,1,1,0
8,0.10,0.932381,6.762,1.0000,6347.26,6,6,18.000,-0.37396,1.6398,-1.8277,9.6812,-2.5385,13.192,-29.403,-8.0972,-25.282,9.1569,-13.569,12.159,26.628,-22.391,21.887,0,0,0,0,1,1,0,0,1
9,0.11,0.583535,41.646,1.0000,26127.36,12,12,36.000,1.5252,0.042826,-0.62282,14.848,-5.5217,-12.692,22.806,18.74,10.073,27.505,25.543,14.895,21.642,-15.171,-21.525,1,1,0,0,1,1,1,0,1
10,0.12,0.493817,50.618,1.0000,7340.46,4,4,12.000,0.093739,-1.6443,1.9278,2.1419,-14.808,10.906,28.696,5.3922,-10.819,-18.75,10.352,-18.294,4.6613,6.1344,27.745,0,0,1,0,0,0,1,0,0
11,0.14,0.480405,51.960,1.0000,39977.42,10,10,30.000,1.4941,-0.1108,1.6505,7.9775,12.46,-14.904,-25.586,-25.78,22.131,8.0442,-0.2057,-20.187,10.424,-10.919,12.653,0,1,1,0,1,0,1,0,1
12,0.15,0.266692,73.331,1.0000,14887.07,10,10,30.000,-1.2682,1.8521,1.2037,-0.56219,9.406,4.114,9.3073,24.821,-26.084,20.099,-7.0911,-10.467,29.642,16.871,-0.86789,0,1,0,1,1,1,0,1,0
13,0.16,0.458829,54.117,1.0000,38534.20,14,14,42.000,-0.55077,-0.33021,0.16564,-11.622,-2.7916,-19.988,14.663,21.113,-21.664,12.227,19.266,28.91,20.627,-4.5536,28.781,1,1,1,1,0,1,1,0,1
14,0.17,0.342007,65.799,1.0000,32465.96,12,12,36.000,0.28274,-1.6246,-0.43448,-12.788,-0.71499,-2.8584,-4.5758,5.178,-22.639,26.026,11.043,19.427,23.808,4.9992,-27.587,1,1,1,1,1,1,0,0,0
