eval,t_s,score,uniformity_pct,coverage,e_avg,n_active,group0.dx,group0.dy,group0.dz,group0.drot_x,group0.drot_y,group0.drot_z,group0.tilt[0],group0.tilt[1],group0.tilt[2],group0.tilt[3],group0.tilt[4],group0.tilt[5],group0.tilt[6],group0.tilt[7],group0.tilt[8],group0.beam_angle,group0.on[0],group0.on[1],group0.on[2],group0.on[3],group0.on[4],group0.on[5],group0.on[6],group0.on[7],group0.on[8]
1,1.79,0.342350,65.765,1.0000,376.96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,1,0,0,0,1,0,1
2,2.61,0.342350,65.765,1.0000,376.96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,1,0,0,0,1,0,1
3,3.58,0.342350,65.765,1.0000,376.96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,1,0,0,0,1,0,1
4,4.55,0.320435,67.957,1.0000,291.42,10,0.59896,-0.93421,0.69919,-14.519,3.6791,12.623,-9.2409,15.817,-26.162,26.323,-36.575,-13.488,-18.873,18.38,5.0243,125.71,1,0,1,1,0,0,0,1,1
5,5.47,0.320435,67.957,1.0000,291.42,10,0.59896,-0.93421,0.69919,-14.519,3.6791,12.623,-9.2409,15.817,-26.162,26.323,-36.575,-13.488,-18.873,18.38,5.0243,125.71,1,0,1,1,0,0,0,1,1
6,6.37,0.309559,69.044,1.0000,382.55,12,0.49261,0.69179,0.20489,-8.5122,-6.1842,13.839,13.155,8.6327,-9.0199,42.19,-0.20182,-1.7943,-42.151,18.173,12.496,108.28,1,1,0,1,0,1,1,0,1
7,7.28,0.309559,69.044,1.0000,382.55,12,0.49261,0.69179,0.20489,-8.5122,-6.1842,13.839,13.155,8.6327,-9.0199,42.19,-0.20182,-1.7943,-42.151,18.173,12.496,108.28,1,1,0,1,0,1,1,0,1
8,8.15,0.309559,69.044,1.0000,382.55,12,0.49261,0.69179,0.20489,-8.5122,-6.1842,13.839,13.155,8.6327,-9.0199,42.19,-0.20182,-1.7943,-42.151,18.173,12.496,108.28,1,1,0,1,0,1,1,0,1
9,9.01,0.308772,69.123,1.0000,311.23,12,0.47214,-0.33205,1.8337,-2.1392,7.4475,14.428,37.731,24.221,-26.873,19.717,-33.139,-9.3998,42.442,-4.2774,0.67246,114.39,0,1,0,1,0,1,1,1,1
10,9.89,0.308772,69.123,1.0000,311.23,12,0.47214,-0.33205,1.8337,-2.1392,7.4475,14.428,37.731,24.221,-26.873,19.717,-33.139,-9.3998,42.442,-4.2774,0.67246,114.39,0,1,0,1,0,1,1,1,1
11,10.76,0.306403,69.360,1.0000,321.42,12,1.586,-1.6705,-1.5201,-8.9639,7.2597,14.8,43.887,9.3578,-6.6347,27.328,-11.242,-8.6825,-27.306,6.7101,0.13698,106.38,1,1,0,1,0,0,1,1,1
12,11.64,0.305862,69.414,1.0000,355.15,14,-0.66568,0.71344,-1.7797,0.9968,-5.4581,10.948,43.212,0.31112,-12.563,9.4999,17.983,-25.879,-36.734,-23.932,-19.442,101.82,1,1,0,1,0,1,1,1,1
