eval,t_s,score,uniformity_pct,coverage,e_avg,n_active,n_drivers,total_current_a,group0.dx,group0.dy,group0.dz,group0.drot_x,group0.drot_y,group0.drot_z
1,1.28,1.338810,66.119,1.0000,889.47,8,2,1.244,0,0,0,0,0,0
2,2.41,1.334861,66.514,1.0000,889.13,8,2,1.244,0,0,0,0,0,0
3,3.45,1.573866,42.613,1.0000,710.62,8,2,1.244,3.5965,-4.6258,-7.0438,-19.824,23.18,2.8959
4,4.50,1.568029,43.197,1.0000,1213.24,8,2,1.244,-2.1126,2.8766,8.2594,-19.99,-22.134,-15.943
5,5.55,1.414573,58.543,1.0000,635.75,8,2,1.244,2.1381,-8.4899,1.3816,19.221,26.765,29.253
6,6.58,1.710032,28.997,1.0000,1760.53,8,2,1.244,6.5639,0.87798,-7.5079,-16.492,-21.939,-29.153
7,7.65,1.717313,28.269,1.0000,1248.33,8,2,1.244,3.1353,1.838,9.0326,6.1323,-29.112,-27.517
8,8.72,1.642282,35.772,1.0000,1465.82,8,2,1.244,8.3431,0.72201,8.7778,20.665,8.7,-12.483
9,9.79,1.515343,48.466,1.0000,1126.13,8,2,1.244,-4.668,2.6474,-8.2627,-24.322,-20.298,-22.286
10,10.86,1.374284,62.572,1.0000,613.43,8,2,1.244,2.8569,2.5997,8.5057,-23.979,26.854,5.8912
11,11.90,1.365410,63.459,1.0000,428.98,8,2,1.244,-3.8142,-8.9581,-1.1236,-7.5609,-15.553,28.773
12,12.96,1.430579,56.942,1.0000,1029.98,8,2,1.244,-5.1547,3.9477,4.5808,3.6593,15.909,-18.085
13,13.99,1.509628,51.351,0.9769,329.36,8,2,1.244,3.6061,2.2771,-8.4532,6.2198,-26.672,28.132
14,15.02,1.434210,56.579,1.0000,491.96,8,2,1.244,-9.16,9.9473,6.3546,16.199,-4.6777,-0.40614
15,16.07,1.512308,48.769,1.0000,624.70,8,2,1.244,1.6701,-4.7791,-1.098,-24.907,-15.968,26.542
16,17.10,1.498181,50.182,1.0000,825.03,8,2,1.244,-8.263,-5.8804,-6.3727,-20.454,-18.245,0.46396
17,18.16,1.427683,57.232,1.0000,721.98,8,2,1.244,-9.6363,-8.1449,7.0121,-5.9514,8.4268,0.99155
18,19.18,1.392219,60.778,1.0000,670.89,8,2,1.244,-4.0878,-2.3847,9.7436,0.1688,12.667,6.5661
19,20.25,1.287010,71.299,1.0000,769.01,8,2,1.244,-1.6889,-0.56621,-3.8185,8.9305,12.134,6.4333
20,21.29,1.648300,35.170,1.0000,1527.03,8,2,1.244,6.8032,5.9074,6.2924,12.34,-9.7799,-25.63
