eval,t_s,score,uniformity_pct,coverage,e_avg,n_active,n_drivers,total_current_a,group0.drot_x,group0.drot_y,group0.drot_z,group0.on[0],group0.on[1],group0.on[2],group0.on[3],group0.on[4],group0.on[5],group0.on[6],group0.on[7],group0.on[8]
1,1.28,1.207840,79.216,1.0000,382.65,8,2,1.244,0,0,0,1,0,1,0,0,0,1,0,1
2,2.55,1.207220,79.278,1.0000,382.40,8,2,1.244,0,0,0,1,0,1,0,0,0,1,0,1
3,3.74,2.758911,4.649,0.1946,89.19,10,3,1.556,-6.3377,8.6298,24.778,0,0,0,1,0,1,1,1,1
4,4.99,1.568944,43.106,1.0000,880.37,8,2,1.244,19.692,2.6339,-22.524,0,0,0,1,1,1,1,0,0
5,6.18,1.762832,29.958,0.9376,291.55,6,2,0.933,25.029,2.166,26.334,1,1,0,0,1,0,0,0,0
6,7.37,1.695657,39.130,0.9130,161.76,6,2,0.933,8.5708,7.7991,25.517,0,1,1,0,0,0,0,0,1
7,8.51,1.483042,51.696,1.0000,427.75,12,3,1.867,-15.464,11.843,13.743,1,1,0,1,1,0,1,0,1
8,9.71,1.668907,41.454,0.9165,149.03,6,2,0.933,-27.48,29.842,19.064,1,0,0,1,0,0,0,0,1
9,10.94,1.954163,10.965,0.9362,959.40,8,2,1.244,-24.789,-17.641,-19.118,0,0,1,0,0,1,0,1,1
10,12.08,1.882897,23.456,0.8825,232.65,12,3,1.867,-12.263,-7.1542,29.231,1,1,1,0,0,0,1,1,1
11,13.24,1.753089,25.883,0.9881,389.38,10,3,1.556,20.409,17.722,18.877,1,0,0,1,0,0,1,1,1
12,14.42,1.839428,32.011,0.8405,189.36,6,2,0.933,-1.2364,5.456,14.371,1,0,0,0,0,1,0,0,1
13,15.63,1.390164,60.984,1.0000,626.45,6,2,0.933,26.893,7.8269,-14.994,0,1,0,0,0,0,1,0,1
14,16.84,1.348437,65.156,1.0000,922.46,8,2,1.244,-12.503,1.3518,-17.263,0,1,0,1,0,1,1,0,0
15,18.03,1.683274,32.514,0.9916,521.11,6,2,0.933,-23.918,0.37612,-8.9266,1,0,0,1,0,0,0,1,0
16,19.24,1.729129,31.645,0.9544,248.64,6,2,0.933,-29.579,6.9856,20.636,1,1,0,0,1,0,0,0,0
17,20.47,1.522366,47.763,1.0000,1415.99,10,3,1.556,-11.739,-16.859,-20.679,1,0,1,1,1,1,0,0,0
18,21.66,1.509632,49.037,1.0000,923.39,12,3,1.867,23.006,-21.278,-19.139,0,0,1,1,1,1,1,1,0
19,22.89,1.414043,58.596,1.0000,501.14,6,2,0.933,-28.35,26.823,-15.805,1,0,0,0,0,0,1,1,0
20,24.06,1.545813,45.419,1.0000,304.50,8,2,1.244,-2.0474,21.217,11.38,1,0,1,0,1,0,0,0,1
21,25.27,1.612910,38.709,1.0000,624.20,4,1,0.622,-3.4993,-3.4035,-23.098,0,0,0,1,1,0,0,0,0
22,26.47,2.246604,12.507,0.6283,243.74,4,1,0.622,-27.744,8.1593,-28.183,0,0,0,0,0,1,0,1,0
23,27.59,1.834817,31.385,0.8513,183.48,6,2,0.933,-8.4814,20.326,20.772,0,1,0,1,0,0,0,1,0
24,28.78,1.931016,23.623,0.8327,367.13,6,2,0.933,22.015,29.128,-3.8063,0,0,0,0,0,1,1,1,0
25,29.96,1.692347,30.765,1.0000,894.66,10,3,1.556,19.964,-27.948,-29.857,0,1,1,1,0,0,1,1,0
26,31.19,1.697236,38.411,0.9187,308.14,6,2,0.933,4.9271,-14.496,-9.99,0,0,0,0,0,1,1,1,0
27,32.46,1.387534,61.247,1.0000,277.68,6,2,0.933,20.307,-24.072,-2.5199,0,0,1,1,0,0,1,0,0
28,33.65,1.608935,39.107,1.0000,860.33,10,3,1.556,-21.588,11.852,-21.257,0,1,0,0,1,1,1,0,1
29,34.87,1.401399,59.860,1.0000,1480.56,12,3,1.867,28.949,26.021,-4.207,1,1,0,0,1,1,1,1,0
30,36.04,1.715252,30.719,0.9776,296.94,8,2,1.244,23.305,-9.6646,18.014,0,1,1,0,1,1,0,0,0
31,37.22,1.744708,36.399,0.8913,250.85,4,1,0.622,5.9265,10.908,17.144,1,0,0,0,1,0,0,0,0
32,38.39,1.997774,23.154,0.7707,258.15,6,2,0.933,-18.83,29.448,-8.8075,0,1,0,0,0,1,0,0,1
33,39.58,1.447451,55.255,1.0000,406.09,6,2,0.933,-3.9208,-25.093,9.5884,0,1,0,0,1,1,0,0,0
34,40.78,1.325873,67.413,1.0000,563.40,6,2,0.933,-6.3577,-16.554,-2.1477,0,1,0,1,0,1,0,0,0
35,42.02,1.613709,38.629,1.0000,1242.54,8,2,1.244,17.787,16.049,-23.217,0,1,0,1,0,0,1,1,0
36,43.28,1.530316,46.968,1.0000,1204.89,8,2,1.244,-20.986,-29.191,-20.33,0,1,0,0,0,1,1,1,0
37,44.47,1.620620,44.565,0.9337,183.47,8,2,1.244,-24.459,12.732,17.66,1,0,1,1,0,0,0,0,1
38,45.69,1.277774,72.223,1.0000,666.72,10,3,1.556,4.8361,-5.5894,2.1263,1,1,1,0,0,0,1,0,1
39,46.88,1.952995,22.442,0.8226,145.94,12,3,1.867,-14.997,9.418,24.778,1,0,1,1,0,1,1,0,1
40,48.14,1.462254,53.775,1.0000,621.38,6,2,0.933,19.692,10.128,-22.524,0,0,1,0,0,1,1,0,0
41,49.32,1.771902,29.051,0.9376,253.22,10,3,1.556,0.23727,2.166,26.334,1,1,1,0,1,0,0,0,1
42,50.53,1.489619,51.038,1.0000,1004.31,12,3,1.867,-25.138,5.3449,-14.341,1,1,1,0,0,1,1,0,1
43,51.73,1.253266,74.673,1.0000,1154.24,14,4,2.178,-5.242,11.843,-4.0221,1,1,1,1,1,0,1,0,1
44,52.95,2.532939,8.382,0.3832,261.35,6,2,0.933,-27.48,-2.5314,-3.1059,0,0,0,0,0,1,0,1,1
45,54.11,2.064394,22.523,0.7104,386.87,6,2,0.933,-14.002,2.9843,-14.471,0,0,1,0,0,0,0,1,1
46,55.33,1.553625,44.638,1.0000,870.88,10,3,1.556,-12.263,-10.575,-15.247,1,0,1,0,0,1,1,0,1
47,56.49,1.478651,56.518,0.9562,181.87,10,3,1.556,2.4277,-24.178,18.877,1,0,1,1,0,0,0,1,1
48,57.69,1.459791,54.021,1.0000,640.00,10,3,1.556,25.628,-14.172,-2.5538,1,1,1,0,0,0,1,0,1
49,58.87,1.451929,54.807,1.0000,524.87,10,3,1.556,-15.745,3.7186,10.985,1,1,1,0,1,0,0,0,1
50,60.11,1.563554,43.645,1.0000,469.59,4,1,0.622,1.0899,-11.294,-17.263,0,0,1,1,0,0,0,0,0
51,61.28,2.223042,17.738,0.5996,212.66,8,2,1.244,-12.259,-2.239,10.218,0,0,1,0,0,0,1,1,1
52,62.45,1.463559,53.644,1.0000,279.63,8,2,1.244,-13.024,-17.037,18.031,1,1,0,0,0,1,1,0,0
53,63.65,1.581006,41.899,1.0000,923.67,10,3,1.556,-20.834,28.49,-20.679,1,0,1,1,1,0,0,1,0
54,64.88,1.327089,67.291,1.0000,665.89,6,2,0.933,1.5285,-21.278,-19.139,1,0,1,0,0,0,0,1,0
55,66.08,1.597309,40.269,1.0000,707.67,10,3,1.556,-22.201,-8.3431,-15.805,0,0,1,1,0,0,1,1,1
56,67.23,1.497367,50.894,0.9937,250.77,8,2,1.244,-2.0474,-12.73,11.38,1,0,1,0,0,0,1,0,1
57,68.44,1.428514,57.149,1.0000,971.73,10,3,1.556,7.9833,-5.0134,-13.19,1,0,1,1,1,0,0,1,0
