eval,t_s,score,uniformity_pct,coverage,e_avg,n_active,front_duct.theta_center,front_duct.arc_span,front_duct.axial_center,front_duct.row_pitch,front_duct.tilt_axial[0],front_duct.tilt_axial[1],front_duct.tilt_axial[2],front_duct.tilt_axial[3],front_duct.tilt_axial[4],front_duct.tilt_axial[5],front_duct.tilt_axial[6],front_duct.tilt_axial[7],front_duct.tilt_axial[8],front_duct.beam,front_duct.on[0],front_duct.on[1],front_duct.on[2],front_duct.on[3],front_duct.on[4],front_duct.on[5],front_duct.on[6],front_duct.on[7],front_duct.on[8]
1,0.90,0.325918,67.808,1.0000,655.84,4,55.521,84.279,0.68229,0.94806,-48.983,58.545,-45.989,-38.783,8.9944,-6.4472,30.047,-37.133,49.731,98.688,1,0,0,0,0,0,1,0,0
2,1.27,0.284756,72.324,1.0000,958.47,8,41.787,66.299,-0.22304,1.0487,-53.064,40.829,25.144,-42.449,27.167,3.9324,16.893,-17.15,54.557,110.16,1,0,0,0,1,1,1,0,0
3,1.60,0.284756,72.324,1.0000,958.47,8,41.787,66.299,-0.22304,1.0487,-53.064,40.829,25.144,-42.449,27.167,3.9324,16.893,-17.15,54.557,110.16,1,0,0,0,1,1,1,0,0
4,1.94,0.284756,72.324,1.0000,958.47,8,41.787,66.299,-0.22304,1.0487,-53.064,40.829,25.144,-42.449,27.167,3.9324,16.893,-17.15,54.557,110.16,1,0,0,0,1,1,1,0,0
5,2.29,0.274523,73.348,1.0000,495.61,8,68.233,94.298,0.1095,1.0858,-58.234,18.996,-48.251,-35.973,25.451,17.081,59.205,51.615,53.021,121.55,0,1,1,1,0,0,1,0,0
6,2.64,0.274523,73.348,1.0000,495.61,8,68.233,94.298,0.1095,1.0858,-58.234,18.996,-48.251,-35.973,25.451,17.081,59.205,51.615,53.021,121.55,0,1,1,1,0,0,1,0,0
7,2.98,0.274523,73.348,1.0000,495.61,8,68.233,94.298,0.1095,1.0858,-58.234,18.996,-48.251,-35.973,25.451,17.081,59.205,51.615,53.021,121.55,0,1,1,1,0,0,1,0,0
8,3.32,0.268185,73.982,1.0000,745.31,8,62.164,90.474,0.26193,0.96497,-52.181,-21.306,5.1425,44.824,46.428,13.821,16.806,1.9222,41.142,115.36,1,0,0,0,1,0,1,1,0
9,3.67,0.268185,73.982,1.0000,745.31,8,62.164,90.474,0.26193,0.96497,-52.181,-21.306,5.1425,44.824,46.428,13.821,16.806,1.9222,41.142,115.36,1,0,0,0,1,0,1,1,0
10,4.00,0.268185,73.982,1.0000,745.31,8,62.164,90.474,0.26193,0.96497,-52.181,-21.306,5.1425,44.824,46.428,13.821,16.806,1.9222,41.142,115.36,1,0,0,0,1,0,1,1,0
11,4.35,0.226255,78.175,1.0000,678.75,8,60.032,90.516,-1.0192,1.0524,-43.51,-44.406,24.657,10.126,44.956,48.745,39.714,-46.891,44.01,114.79,1,0,0,0,1,0,1,1,0
12,4.69,0.226255,78.175,1.0000,678.75,8,60.032,90.516,-1.0192,1.0524,-43.51,-44.406,24.657,10.126,44.956,48.745,39.714,-46.891,44.01,114.79,1,0,0,0,1,0,1,1,0
13,5.04,0.226255,78.175,1.0000,678.75,8,60.032,90.516,-1.0192,1.0524,-43.51,-44.406,24.657,10.126,44.956,48.745,39.714,-46.891,44.01,114.79,1,0,0,0,1,0,1,1,0
14,5.39,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
15,5.76,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
16,6.12,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
17,6.48,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
18,6.85,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
19,7.21,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
20,7.55,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
21,7.90,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
22,8.24,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
23,8.58,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
24,8.94,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
25,9.29,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
26,9.65,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
27,9.99,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
28,10.34,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
29,10.67,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
30,11.02,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
31,11.35,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
32,11.68,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
33,12.02,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
34,12.37,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
35,12.71,0.200780,80.922,1.0000,1104.11,10,19.761,91.84,-0.39291,1.1654,-56.065,-52.311,44.618,53.136,47.477,19.607,24.121,13.251,30.805,106.19,1,1,0,0,1,0,0,1,1
