eval,t_s,score,uniformity_pct,coverage,e_avg,n_active,n_drivers,total_current_a,front_duct.n_rows,front_duct.n_cols,front_duct.theta_center,front_duct.arc_span,front_duct.axial_center,front_duct.row_pitch,front_duct.radial,front_duct.tilt_axial[0],front_duct.tilt_axial[1],front_duct.tilt_axial[2],front_duct.tilt_axial[3],front_duct.tilt_axial[4],front_duct.tilt_axial[5],front_duct.tilt_axial[6],front_duct.tilt_axial[7],front_duct.tilt_axial[8],front_duct.tilt_axial[9],front_duct.tilt_axial[10],front_duct.tilt_axial[11],front_duct.beam,front_duct.current_a
1,0.42,0.717897,59.038,1.0000,19808.30,24,6,39.600,3,4,30,55,-1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1.65
2,0.43,0.744206,59.282,1.0000,19752.24,24,6,39.600,3,4,30,55,-1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1.65
3,0.45,1.799170,23.096,1.0000,2064.32,8,2,3.012,2,2,-25.083,11.487,0.25308,1.8953,0.21327,27.54,5.235,52.209,37.902,-59.671,42.889,-55.97,27.559,-38.921,43.581,4.9753,-24.035,106.91,0.37646
4,0.46,1.581111,33.594,1.0000,2281.76,6,2,7.014,1,3,47.663,65.385,-1.4653,1.9967,0.96167,22.265,18.055,22.614,-13.329,-43.788,26.579,3.0425,-22.771,-1.6998,46.739,52.085,-17.065,112.86,1.169
5,0.47,1.739084,29.442,1.0000,1515.85,8,2,4.360,2,2,16.994,90.125,-2.0914,1.5478,-0.83197,39.917,34.452,-31.276,45.178,-52.972,-19.666,-41.966,-5.9593,35.559,-32.323,-53.757,-11.454,97.941,0.54503
6,0.48,1.202053,36.145,1.0000,4374.75,8,2,19.373,2,2,50.639,27.956,0.76845,1.2381,-0.78901,15.493,51.259,-7.1547,54.551,-0.012502,-8.9726,14.426,59.412,53.873,-4.7946,30.927,-0.30928,111.17,2.4216
7,0.49,1.908907,7.860,0.9765,1725.66,12,3,12.223,2,3,55.337,93.885,-2.5403,1.6748,0.85485,56.151,-58.235,43.637,57.743,54.865,-42.148,56.715,46.792,38.685,-2.4014,-32.115,36.226,126.94,1.0186
8,0.50,5.327282,4.205,0.0000,160.62,8,2,7.620,2,2,81.722,13.646,-0.071975,1.5372,-0.94327,26.306,-58.081,30.954,1.531,51.493,-52.07,40.958,-51.997,-18.683,-8.3642,55.927,7.4678,100.35,0.95252
9,0.52,1.568317,39.681,1.0000,3009.48,12,3,4.995,3,2,-15.053,35.95,-0.65551,1.4649,0.61942,7.2571,-25.389,-10.452,38.175,15.181,55.089,-15.671,6.3134,11.271,41.795,-42.543,-11.219,126.4,0.41628
10,0.53,2.972057,9.417,0.2083,1155.04,12,3,31.565,3,2,69.576,10.896,-1.5398,0.89436,0.30523,-27.138,24.318,53.256,-44.782,43.773,-52.864,-14.308,-8.4271,-1.3381,57.175,33.083,-22.937,100.79,2.6304
11,0.54,0.959652,43.558,1.0000,12242.14,18,5,32.684,3,3,11.315,99.543,-1.7362,1.0193,0.7602,37.48,20.147,55.01,51.086,29.79,43.284,-30.342,-43.05,20.407,25.754,-39.954,-12.533,126.41,1.8158
12,0.55,1.445662,24.818,0.9571,3220.45,8,2,18.473,2,2,33.123,57.109,-2.6443,1.9783,0.14279,-59.231,32.718,57.392,10.784,-21.638,-37.499,20.703,-36.587,9.3225,12.269,55.491,-51.328,110,2.3091
13,0.56,1.707731,20.925,0.9248,3374.30,4,1,8.878,1,2,-22.453,75.329,-2.6489,1.2741,0.74705,-3.324,49.515,31.91,49.839,-44.712,-51.172,-51.561,44.263,16.088,-0.4114,-40.375,20.848,102.72,2.2194
14,0.58,2.867201,8.006,0.4167,1063.82,12,3,14.148,2,3,64.76,18.347,-0.68497,1.0367,0.61627,-1.3385,58.643,-38.047,55.562,36.11,-2.2487,37.624,12.342,18.615,49.643,-52.168,40.199,105.27,1.179
15,0.59,1.315050,51.029,1.0000,5191.25,18,5,12.152,3,3,28.264,48.037,0.51012,0.90418,0.41684,34.699,35.904,-21.326,35.597,-32.961,-16.523,-9.9062,4.9692,-46.486,-11.166,-59.964,29.326,124.08,0.67512
16,0.60,2.003837,23.600,0.6667,2424.55,12,3,17.485,2,3,87.819,85.941,-1.3036,1.9756,0.94797,0.44124,30.414,49.661,-2.8624,43.654,24.188,-24.729,32.118,8.4822,-48.739,-13.034,-51.151,109.05,1.4571
17,0.61,0.950857,49.189,1.0000,9845.07,12,3,22.664,2,3,-15.277,94.039,-0.2638,1.7885,0.7936,9.9984,-55.174,25.378,8.2831,39.115,3.8593,37.589,59.641,-17.933,-39.477,-12.999,30.366,107.57,1.8886
18,0.63,1.102506,40.086,1.0000,9151.43,6,2,16.111,1,3,3.6099,27.156,0.4518,1.4773,-0.031002,47.859,-49.679,23.539,-20.642,-38.951,20.976,-16.461,-20.413,53.241,-36.084,1.4608,-57.118,96.535,2.6852
19,0.64,0.691956,49.668,1.0000,25625.02,18,5,40.194,3,3,-3.3056,60.197,-2.9514,1.6556,0.4335,17.525,13.361,-51.154,-30.431,8.9254,-12.698,59.043,50.849,-41.759,10.795,23.546,-43.615,102.5,2.233
20,0.65,1.291174,33.939,0.9984,3690.09,12,3,15.029,3,2,-1.3268,83.961,-0.66007,1.3719,-0.4877,-51.281,-57.853,9.5964,-37.067,57.064,-47.103,-5.7493,-12.641,-32.123,29.851,17.245,27.091,93.312,1.2524
21,0.67,1.313918,35.643,1.0000,10433.57,8,2,11.598,2,2,-25.126,27.462,0.7801,0.99508,0.7041,38.656,-13.045,-3.986,38.88,21.682,40.433,30.912,22.953,49.557,38.737,-38.512,29.787,93.467,1.4498
22,0.68,0.931386,49.380,1.0000,22157.76,18,5,53.568,3,3,-20.737,72.15,-2.8624,2,-0.11423,28.4,26.68,-60,-12.925,-34.23,50.867,18.781,60,-60,45.322,12.003,-38.862,103.04,2.976
23,0.69,1.212294,26.714,1.0000,18710.15,6,2,17.147,3,1,-25.423,64.207,-3,1.8796,0.92593,13.225,-29.988,-10.875,1.0856,0.2189,48.654,48.891,17.759,-46.295,42.16,-3.7341,13.166,93.808,2.8579
24,0.71,0.957108,23.100,1.0000,15680.72,18,5,39.032,3,3,27.195,28.446,-1.6741,1.6376,0.17831,38.672,43.278,-29.425,26.009,39.431,23.532,43.804,53.856,-25.868,10.294,32.06,-31.587,110.45,2.1684
25,0.72,1.049782,41.752,1.0000,11557.26,12,3,27.984,3,2,-27.721,84.274,-3,1.8711,-0.15853,-35.542,-15.364,-19.759,-1.1871,18.017,-34.661,55.461,42.697,-51.204,-57.821,0.055625,-48.82,116.34,2.332
26,0.74,1.166087,46.582,1.0000,11862.68,18,5,19.882,3,3,-10.017,10,-2.5412,1.8009,1,4.5976,15.861,-60,-60,-10.014,-21.86,60,50.908,-60,14.563,29.324,-60,112.62,1.1046
27,0.75,0.959349,51.946,1.0000,30534.95,18,5,54.000,3,3,-30,67.177,-1.8412,1.7725,-0.2922,-1.2344,45.107,-43.468,-30.685,20.292,5.8781,40.791,43.368,-38.077,-3.2182,20.108,-10.179,94.193,3
28,0.76,0.568869,55.489,1.0000,22158.90,12,3,29.312,3,2,-6.8296,66.62,-3,1.4704,0.33462,35.997,0.58284,-5.5065,-23.185,6.3621,23.518,60,60,-50.034,56.125,43.833,-48.698,90,2.4427
29,0.78,1.517909,31.753,1.0000,20078.88,4,1,12.000,2,1,-14.154,72.159,-1.8783,1.5445,0.6871,3.8314,-0.0083743,-2.2474,-0.56093,9.4074,44.616,46.771,60,-39.148,23.333,48.438,-57.104,90,3
30,0.80,1.539412,12.753,1.0000,12559.31,6,2,12.287,3,1,-16.433,69.258,-1.7207,1.4282,0.53501,60,14.162,21.69,-35.313,25.986,22.043,60,34.458,-60,60,38.842,-57.834,90.658,2.0478
31,0.81,1.324195,39.961,1.0000,12209.13,6,2,10.800,3,1,-10.548,73.044,-3,1.2723,-0.022691,46.499,-24.858,10.448,-60,-7.3393,24.415,29.087,60,-50.492,30.547,6.3344,-60,90.42,1.8001
32,0.82,1.232840,45.761,1.0000,9884.54,8,2,19.958,2,2,47.71,71.605,-2.391,1.5213,0.64713,3.8335,-9.7268,0.75216,-23.614,1.7644,7.5723,53.812,41.46,-60,27.52,55.223,-11.41,104.48,2.4948
33,0.84,0.711197,42.387,1.0000,27679.80,18,5,38.269,3,3,-22.91,37.039,-2.9761,1.0611,0.21076,50.123,-32.404,-4.7563,5.6191,14.76,35.651,60,60,-46.517,60,42.342,-60,92.438,2.126
34,0.85,1.158504,53.671,1.0000,11760.93,12,3,19.054,3,2,-30,68.403,-3,1.4462,0.87913,24.258,-11.63,25.225,-10.876,28.365,15.513,60,44.539,-60,60,30.35,-31.413,107.96,1.5878
35,0.87,0.910624,49.484,1.0000,24988.14,18,5,51.495,3,3,-10,85.653,-3,1.5428,0.27978,39.065,7.8197,-32.171,-46.661,36.944,29.927,60,59.037,-42.241,30.861,21.998,-20.186,91.102,2.8608
36,0.89,0.901924,44.123,1.0000,33323.12,18,5,48.100,3,3,0.49039,74.272,-2.6122,1.3014,-0.32461,13.211,35.15,22.068,-30.54,-0.033549,45.495,56.43,32.455,-23.204,60,-9.5147,-55.338,91.015,2.6722
37,0.90,0.768563,55.419,1.0000,13053.12,12,3,21.193,3,2,-9.2101,71.167,-3,1.3939,0.76376,16.53,-6.6036,-47.278,-12.06,23.395,34.797,60,60,-42.99,60,38.336,-24.261,90,1.766
38,0.92,0.836252,38.900,1.0000,22547.07,18,5,32.279,3,3,-25.982,65.1,-3,1.3945,0.34994,11.226,-4.9556,-34.749,-34.52,-17.297,2.3927,25.692,60,-39.88,17.877,31.927,-60,90,1.7933
39,0.93,1.068849,13.265,1.0000,12102.63,12,3,25.364,3,2,2.2286,74.264,-2.1129,1.1192,0.89529,60,11.671,40.614,-19.219,22.257,9.2306,60,60,-58.764,60,37.935,-48.526,90,2.1137
