eval,t_s,score,uniformity_pct,coverage,e_avg,n_active,n_drivers,total_current_a,group0.dx,group0.dy,group0.dz,group0.drot_x,group0.drot_y,group0.drot_z
1,0.01,0.307464,69.254,1.0000,887.33,8,8,1.244,0,0,0,0,0,0
2,0.02,0.307464,69.254,1.0000,887.33,8,8,1.244,0,0,0,0,0,0
3,0.03,0.351001,64.900,1.0000,698.66,8,8,1.244,0.54785,-0.92085,-1.8361,-9.6694,6.2654,8.2551
4,0.03,0.367944,63.206,1.0000,1130.14,8,8,1.244,0.42654,0.91799,0.1745,8.7014,6.3171,-9.9452
5,0.04,0.299554,70.045,1.0000,934.48,8,8,1.244,1.4296,-1.8657,0.91862,-6.4869,7.2636,0.82922
6,0.05,0.258985,74.101,1.0000,787.92,8,8,1.244,-0.80115,-0.30925,-1.8867,-7.5143,3.4125,2.9438
7,0.06,0.355985,64.402,1.0000,782.35,8,8,1.244,0.10232,-0.21524,-2,-10,1.1239,4.0448
8,0.07,0.215260,78.474,1.0000,734.94,8,8,1.244,-1.7805,-0.51215,-2,-4.8912,4.4536,4.6673
9,0.08,0.272145,72.785,1.0000,629.12,8,8,1.244,-2,-0.64416,-1.2015,2.7141,-1.9582,10
10,0.08,0.311008,68.899,1.0000,621.29,8,8,1.244,-0.45083,0.25974,-1.7387,-6.4419,10,10
11,0.09,0.350183,64.982,1.0000,666.28,8,8,1.244,-0.053963,0.74812,-1.6575,-10,4.4322,7.8129
12,0.10,0.260624,73.938,1.0000,791.26,8,8,1.244,-2,-0.14486,-1.6004,-1.6562,-1.0499,1.5919
